Name,Link,ID
Vancouver Housing Market Club,https://amsclubs.ca/vancouver-housing-market-club/,325
Varsity Outdoor Club,https://amsclubs.ca/varisty-outdoor-club/,326
Vegans of UBC,https://amsclubs.ca/vegans-of-ubc/,327
Vietnamese Student Association,https://amsclubs.ca/vietnamese-student-association/,328
Vision Health Volunteers,https://amsclubs.ca/vision-health-volunteers/,329
AMS Visual Art Students Association at UBC,https://amsclubs.ca/visual-arts-students-association/,330
Voice Acting Club,https://amsclubs.ca/voice-acting/,331
UBC Toastmasters,https://amsclubs.ca/toastmasters/,332
Wargamers of UBC,https://amsclubs.ca/wargamers-of-ubc/,333
UBC Water Polo Club,https://amsclubs.ca/water-polo-club/,334
UBC Weightlifting and Powerlifting Club,https://amsclubs.ca/weightlifting-and-powerlifting-club/,335
AMS Wing Chun Club at UBC,https://amsclubs.ca/wing-chun-club/,336
AMS Women Empowerment Club @ UBC,https://amsclubs.ca/women-empowerment-club/,337
AMS Women's Reproductive Health Project @ UBC,https://amsclubs.ca/womens-reproductive-health-project/,338
AMS Young Women for STEM,https://amsclubs.ca/young-women-for-stem/,339
Young Women in Business UBC,https://amsclubs.ca/young-women-in-business/,340
UBC Blood for Life,https://amsclubs.ca/blood-for-life/,341
AMS Hui O Hawai'i at UBC,https://amsclubs.ca/hui-o-haiwaii/,342
AMS Love Your Neighbour Club @ UBC,https://amsclubs.ca/love-your-neighbour-club/,343
AMS Women in Sports @ UBC,https://amsclubs.ca/women-in-sports/,344
UBC A Cappella,https://amsclubs.ca/a-cappella/,345
AMS Age-Link at UBC,https://amsclubs.ca/age-link/,346
AMS Artelier at UBC,https://amsclubs.ca/artelier/,347
Arts Undergraduate Society,https://amsclubs.ca/aus/,348
UBC AVIATION CLUB,https://amsclubs.ca/aviation-club/,349
Best Buddies UBC,https://amsclubs.ca/best-buddies/,350
UBC BizChina Club,https://amsclubs.ca/bizchina-club/,351
UBC AMS Black Student Union,https://amsclubs.ca/black-student-union/,352
Blank Vinyl Project,https://amsclubs.ca/blank-vinyl-project/,353
UBC C4 Choral Composition Club,https://amsclubs.ca/c4-choral-composition-club/,354
AMS Campus Canines at UBC,https://amsclubs.ca/campus-canines/,355
AMS CAPACity @UBC,https://amsclubs.ca/capacity/,356
AMS Central American Students Association (CASAUBC) at UBC,https://amsclubs.ca/central-american-students-association/,357
UBC Conservatives,https://amsclubs.ca/conservatives/,358
UBC Cubing Club,https://amsclubs.ca/cubing-club/,359
UBC CVC,https://amsclubs.ca/cvc/,360
UBC Data Science Club,https://amsclubs.ca/data-science-club/,361
designyvr,https://amsclubs.ca/designyvr/,362
AMS ECHO at UBC,https://amsclubs.ca/echo/,363
UBC Electronica,https://amsclubs.ca/ecegsa-at-ubc/,364
eProjects,https://amsclubs.ca/eprojects/,365
AMS F1 Club at UBC,https://amsclubs.ca/f1-club/,366
Gujarati Students' Association,https://amsclubs.ca/gujarati/,367
Hong Kong Students' Association,https://amsclubs.ca/hong-kong-students-association/,368
Italian Student Association,https://amsclubs.ca/italian-student-association/,369
AMS Knitting & Sewing Club at UBC,https://amsclubs.ca/knitting-and-sewing/,370
AMS Kurdish Club at UBC,https://amsclubs.ca/kurdish-club/,371
Media Studies Student Association,https://amsclubs.ca/media-studies-student-association/,372
Medical Laboratory Club,https://amsclubs.ca/medical-laboratory-club/,373
Men's Mental Health Club,https://amsclubs.ca/mens-mental-health-club/,374
UBC Mining Engineering Undergraduate Club,https://amsclubs.ca/mining-engineering-undergraduate-club/,375
AMS Netball Club @ UBC,https://amsclubs.ca/netball-club/,376
nwPlus,https://amsclubs.ca/nwplus/,377
The AMS Pre-Optometry Club,https://amsclubs.ca/pre-optometry-club/,378
UBC Pickleball Club,https://amsclubs.ca/pickleball/,379
PRINT Arts and Crafts Club,https://amsclubs.ca/print-arts-and-crafts-club/,380
Sargam UBC,https://amsclubs.ca/sargam-ubc/,381
UBC Science Digest,https://amsclubs.ca/science-digest/,382
AMS Skateboard Club @ UBC,https://amsclubs.ca/skateboard-club/,383
UBC Slam Poetry,https://amsclubs.ca/slam-poetry/,384
UBC Operation Smile Club,https://amsclubs.ca/operation-smile-club/,385
Solidarity for Palestinian Human Rights,https://amsclubs.ca/solidarity-for-palestenian-human-rights/,386
AMS Squash Club at UBC,https://amsclubs.ca/squash-club/,387
AMS Strings Club,https://amsclubs.ca/amsstrings/,388
AMS Student Energy at UBC,https://amsclubs.ca/student-energy/,389
Students for AI Literacy,https://amsclubs.ca/sail/,390
UBC Tamil Student Association,https://amsclubs.ca/tamil-student-association/,391
AMS unboundED @ UBC,https://amsclubs.ca/unbounded/,392
Undergraduate Mathematics Society,https://amsclubs.ca/undergraduate-math-association/,393
UBC UNICEF,https://amsclubs.ca/ubc-unicef/,394
UBC UX Hub,https://amsclubs.ca/ux-hub/,395
Vaccine Literacy Club,https://amsclubs.ca/vaccine-literacy-club/,396
AMS Face Drama Club,https://amsclubs.ca/face-drama-club/,397
AMS Fashion Club @ UBC,https://amsclubs.ca/fashion-club/,398
AMS Figure Skating Club at UBC,https://amsclubs.ca/figure-skating-club/,399
AMS Fijian Students Association at UBC,https://amsclubs.ca/fijian-students-association/,400
AMS First Generation Students Union,https://amsclubs.ca/first-generation-students-union/,401
AMS Foreign Policy Association at UBC,https://amsclubs.ca/foreign-policy-association/,402
AMS Golf Club at UBC,https://amsclubs.ca/golf-club/,403
AMS Health and Society Student Club at UBC,https://amsclubs.ca/health-and-society-student-club/,404
AMS Henna Club @ UBC,https://amsclubs.ca/henna-club/,405
Women in Data Science (WiDS@UBC),https://amsclubs.ca/women-in-data-science/,406
UBC Women's Lacrosse,https://amsclubs.ca/womens-lacrosse/,407
AMS Women's Health Club,https://amsclubs.ca/womens-health/,408
